 # Number of iterations in MCMC :       100000
 # Weight   -ln(L/L_{max})    A    bw 
           3  -79.554588917296613        12.545462608337402       -3.3573303222656250     
           2  -79.620895669902694        12.557357788085938       -3.3757038116455078     
           1  -80.009445987472489        12.577646255493164       -3.3808767795562744     
           3  -83.657973870193246        12.554546356201172       -3.2665848731994629     
           1  -82.851170528294446        12.547614097595215       -3.2906873226165771     
           1  -83.043363539917891        12.558956146240234       -3.3023011684417725     
           1  -83.249558996366289        12.549007415771484       -3.2785394191741943     
           2  -82.995597344629559        12.573150634765625       -3.2936961650848389     
           4  -83.277841962949111        12.550282478332520       -3.2802135944366455     
           5  -83.811016692451474        12.555683135986328       -3.2470738887786865     
           1  -83.490525501877642        12.542456626892090       -3.2113807201385498     
           1  -83.631361768752811        12.562129020690918       -3.2339115142822266     
           2  -83.582315764826433        12.565341949462891       -3.2482659816741943     
           2  -83.401221109604663        12.569128990173340       -3.2542157173156738     
           1  -83.156844488966641        12.539084434509277       -3.2467603683471680     
           1  -82.092835380923219        12.525285720825195       -3.1842129230499268     
           3  -82.075285190631234        12.531131744384766       -3.2598068714141846     
           1  -83.139726239518907        12.541257858276367       -3.1854219436645508     
           2  -83.454834327978176        12.541642189025879       -3.2342855930328369     
           2  -82.164913147244448        12.532505989074707       -3.2629992961883545     
           3  -82.193062022784773        12.549779891967773       -3.3144562244415283     
           1  -83.776296774444120        12.559237480163574       -3.2503345012664795     
           1  -83.387913294405706        12.566593170166016       -3.2330546379089355     
           3  -82.762004259665076        12.569715499877930       -3.2125110626220703     
           4  -83.476744498577105        12.553596496582031       -3.2025763988494873     
           1  -83.752585467794546        12.558772087097168       -3.2587375640869141     
           1  -83.109028419053175        12.569450378417969       -3.2281172275543213     
           7  -83.627687613628808        12.547700881958008       -3.2115712165832520     
           3  -83.310971500290620        12.544915199279785       -3.1910691261291504     
           1  -83.439161257726454        12.543213844299316       -3.2023944854736328     
           2  -82.352644437680880        12.528525352478027       -3.2279107570648193     
           4  -83.406782299406217        12.551548957824707       -3.2767434120178223     
           1  -80.559735786781630        12.513619422912598       -3.1806240081787109     
           1  -80.733859994275576        12.514734268188477       -3.1861193180084229     
           6  -80.084303016811816        12.515288352966309       -3.1300792694091797     
           3  -81.565244620119671        12.545805931091309       -3.1360406875610352     
           3  -83.103917586826014        12.544462203979492       -3.2722902297973633     
           1  -83.760189575049708        12.549682617187500       -3.2281572818756104     
           4  -83.751207713714564        12.548857688903809       -3.2316725254058838     
           3  -83.253404216324157        12.538182258605957       -3.2052822113037109     
           1  -83.631496659791253        12.545217514038086       -3.2348306179046631     
          14  -83.776343311125288        12.553051948547363       -3.2510452270507813     
           1  -82.163517398000266        12.533179283142090       -3.2661375999450684     
           5  -82.760468817237438        12.531346321105957       -3.2036285400390625     
           1  -83.685375548157253        12.546964645385742       -3.2384474277496338     
           2  -83.496099437180135        12.544098854064941       -3.2467501163482666     
           1  -83.611175015935771        12.564062118530273       -3.2670567035675049     
           1  -83.110105580913256        12.571062088012695       -3.2368350028991699     
           2  -83.188286060274166        12.571865081787109       -3.2816565036773682     
           1  -82.068150149222774        12.583126068115234       -3.3099007606506348     
           1  -82.218892849561399        12.577898979187012       -3.3223407268524170     
