 # Number of iterations in MCMC :       100000
 # Weight   -ln(L/L_{max})    A    bw 
           2   9999999986.6957073        12.630743980407715       -3.5978393554687500     
           2   9999999984.9605484        12.626276969909668       -3.5426843166351318     
           2   9999999983.2638397        12.593390464782715       -3.3976931571960449     
           3   9999999984.9091072        12.601801872253418       -3.4858670234680176     
           1   9999999985.0964489        12.587446212768555       -3.4526133537292480     
           2   9999999983.0592175        12.611579895019531       -3.3986411094665527     
           1   9999999983.0660114        12.612166404724121       -3.4002563953399658     
           1   9999999983.1442146        12.577658653259277       -3.3055887222290039     
           1   9999999984.2512016        12.593735694885254       -3.2714650630950928     
           2   9999999983.8105755        12.573291778564453       -3.3635313510894775     
           1   9999999985.2907238        12.540994644165039       -3.1374688148498535     
           1   9999999984.8308697        12.604588508605957       -3.2817487716674805     
           2   9999999985.1357975        12.627640724182129       -3.3429765701293945     
           2   9999999983.4512424        12.598884582519531       -3.3191764354705811     
           4   9999999983.2789268        12.587103843688965       -3.3796424865722656     
           9   9999999983.9380417        12.547964096069336       -3.2312130928039551     
           3   9999999984.3341122        12.541324615478516       -3.1914427280426025     
           2   9999999984.3924484        12.537269592285156       -3.1989467144012451     
           2   9999999984.7209148        12.529941558837891       -3.1934578418731689     
           3   9999999984.6537342        12.589216232299805       -3.2468476295471191     
           1   9999999984.8801479        12.620436668395996       -3.3275065422058105     
           1   9999999984.9093571        12.617355346679688       -3.3169450759887695     
           5   9999999983.4691372        12.630578041076660       -3.4380171298980713     
           1   9999999983.0737095        12.583486557006836       -3.3434963226318359     
           5   9999999984.5518703        12.656219482421875       -3.4876761436462402     
           2   9999999983.0564346        12.603666305541992       -3.3642694950103760     
           4   9999999982.9723492        12.599803924560547       -3.3767211437225342     
           2   9999999983.2131157        12.574360847473145       -3.2938795089721680     
           1   9999999983.9228077        12.549102783203125       -3.2548925876617432     
           1   9999999983.6567650        12.565869331359863       -3.3256931304931641     
           9   9999999983.4458866        12.584540367126465       -3.3822832107543945     
           5   9999999984.2796021        12.602345466613770       -3.2933242321014404     
           1   9999999983.8493652        12.554982185363770       -3.2247335910797119     
           3   9999999983.2687969        12.574441909790039       -3.2848966121673584     
           2   9999999983.2094860        12.621465682983398       -3.4357156753540039     
           1   9999999985.6855450        12.656548500061035       -3.6138472557067871     
           1   9999999984.9838924        12.622241020202637       -3.5352561473846436     
           1   9999999985.4518261        12.615411758422852       -3.5335342884063721     
           2   9999999983.4288845        12.574564933776855       -3.3454890251159668     
           1   9999999984.8537102        12.607665061950684       -3.2897741794586182     
           2   9999999983.2491665        12.572334289550781       -3.3143668174743652     
           2   9999999983.4935875        12.563302993774414       -3.2593145370483398     
           1   9999999983.6128273        12.598254203796387       -3.3091390132904053     
           1   9999999983.4010563        12.574841499328613       -3.2722029685974121     
           1   9999999985.6383457        12.521032333374023       -3.1130979061126709     
           3   9999999983.7680092        12.617594718933105       -3.3604540824890137     
           2   9999999983.0939159        12.614809036254883       -3.4155762195587158     
           4   9999999984.2648582        12.640089035034180       -3.4226045608520508     
           3   9999999983.3779812        12.565997123718262       -3.2760219573974609     
           4   9999999983.0386028        12.609471321105957       -3.3922421932220459     
           1   9999999983.2635384        12.610232353210449       -3.3656828403472900     
           1   9999999984.9089813        12.610791206359863       -3.2971813678741455     
           3   9999999983.9498272        12.550822257995605       -3.2722232341766357     
           2   9999999983.8309174        12.563235282897949       -3.3257877826690674     
           1   9999999983.0764961        12.603895187377930       -3.4075274467468262     
           1   9999999983.3171577        12.623560905456543       -3.4170131683349609     
           1   9999999983.1624279        12.583179473876953       -3.3050949573516846     
           7   9999999983.8410816        12.635510444641113       -3.4275794029235840     
           1   9999999984.9127369        12.630737304687500       -3.5495960712432861     
           4   9999999983.4082241        12.593864440917969       -3.4081754684448242     
           2   9999999983.3795452        12.628784179687500       -3.4434399604797363     
           2   9999999983.3591499        12.618339538574219       -3.3882942199707031     
           2   9999999984.9640903        12.612736701965332       -3.3012831211090088     
           2   9999999985.6907196        12.600649833679199       -3.2471716403961182     
           3   9999999985.4045868        12.644403457641602       -3.3937389850616455     
           1   9999999986.5568027        12.665082931518555       -3.4380583763122559     
           2   9999999983.4952202        12.609007835388184       -3.3463931083679199     
           2   9999999983.3079243        12.616364479064941       -3.4508037567138672     
           4   9999999983.3581066        12.571478843688965       -3.3256583213806152     
           9   9999999983.4067249        12.605920791625977       -3.4384045600891113     
           1   9999999984.3281612        12.538506507873535       -3.2203097343444824     
           1   9999999983.8252945        12.604800224304199       -3.3177318572998047     
           1   9999999983.9534416        12.591426849365234       -3.2768414020538330     
           2   9999999984.8560734        12.534996986389160       -3.1552937030792236     
           6   9999999983.5064201        12.567679405212402       -3.2569167613983154     
           1   9999999983.5373707        12.565601348876953       -3.2532155513763428     
           2   9999999983.7133389        12.629064559936523       -3.4952454566955566     
           1   9999999983.7464237        12.630270957946777       -3.4985620975494385     
           1   9999999983.5426044        12.563886642456055       -3.3063812255859375     
           2   9999999983.8728447        12.553701400756836       -3.2232131958007813     
           2   9999999984.8941669        12.560990333557129       -3.1799204349517822     
           3   9999999986.3540211        12.554427146911621       -3.1250171661376953     
           1   9999999986.3756313        12.505070686340332       -3.0841770172119141     
           1   9999999985.2319965        12.561848640441895       -3.1704711914062500     
           1   9999999986.0871639        12.596288681030273       -3.2257032394409180     
           2   9999999983.3191452        12.626548767089844       -3.4489502906799316     
           2   9999999985.1587734        12.623207092285156       -3.5424289703369141     
           5   9999999985.2287407        12.667606353759766       -3.5079391002655029     
           2   9999999983.9325867        12.643071174621582       -3.4614417552947998     
           4   9999999983.2211971        12.620665550231934       -3.4159603118896484     
           1   9999999983.1628742        12.587931632995605       -3.3727824687957764     
           2   9999999983.0773048        12.610618591308594       -3.3883032798767090     
           4   9999999983.0654697        12.601917266845703       -3.3574097156524658     
           2   9999999983.8223057        12.594014167785645       -3.4286205768585205     
           4   9999999984.0956173        12.638854980468750       -3.5272219181060791     
           3   9999999984.5791893        12.659005165100098       -3.5546436309814453     
           2   9999999983.1716728        12.619319915771484       -3.4198510646820068     
           2   9999999983.5483170        12.585359573364258       -3.3906188011169434     
           1   9999999983.2190914        12.592712402343750       -3.3183841705322266     
           1   9999999983.4553204        12.563390731811523       -3.2900538444519043     
           2   9999999984.3861542        12.568024635314941       -3.2105865478515625     
           1   9999999984.3640614        12.550464630126953       -3.1880381107330322     
           2   9999999983.8272343        12.579211235046387       -3.2548959255218506     
           1   9999999984.6095524        12.608096122741699       -3.2985980510711670     
           6   9999999983.5435581        12.610836982727051       -3.3495559692382813     
           2   9999999983.2264709        12.572088241577148       -3.3017902374267578     
           1   9999999983.2212372        12.582334518432617       -3.2978239059448242     
           4   9999999984.2151222        12.541263580322266       -3.2296569347381592     
           2   9999999984.4010887        12.543144226074219       -3.2659938335418701     
           3   9999999983.0758591        12.591170310974121       -3.3741559982299805     
           1   9999999983.2226067        12.605294227600098       -3.4245576858520508     
           3   9999999983.3053112        12.598233222961426       -3.3262100219726563     
          10   9999999983.1144142        12.616066932678223       -3.4208431243896484     
           1   9999999984.0401249        12.639852523803711       -3.5243642330169678     
           4   9999999984.6080017        12.653075218200684       -3.5633387565612793     
           1   9999999983.6832829        12.639307022094727       -3.4742715358734131     
           2   9999999983.6701851        12.626581192016602       -3.4898130893707275     
           1   9999999985.2223701        12.627651214599609       -3.3403749465942383     
           2   9999999984.0790195        12.639073371887207       -3.4285671710968018     
           2   9999999985.8135815        12.672251701354980       -3.5000982284545898     
           4   9999999984.0328636        12.647905349731445       -3.5157659053802490     
           2   9999999985.2137794        12.657372474670410       -3.4546568393707275     
           3   9999999986.8188267        12.541672706604004       -3.0905401706695557     
           3   9999999984.8753052        12.527175903320313       -3.1728084087371826     
           3   9999999987.1931057        12.489727973937988       -3.0650005340576172     
           2   9999999986.0781956        12.505729675292969       -3.1297156810760498     
           3   9999999985.0988979        12.544402122497559       -3.1486847400665283     
           3   9999999985.1795368        12.567629814147949       -3.1831026077270508     
           2   9999999985.1148911        12.578966140747070       -3.2089693546295166     
           1   9999999983.8511124        12.629832267761230       -3.5044896602630615     
           2   9999999983.5676899        12.559320449829102       -3.2786378860473633     
           1   9999999983.5368366        12.598773002624512       -3.3143129348754883     
           5   9999999983.6723442        12.636755943298340       -3.4923458099365234     
           3   9999999983.5364895        12.585182189941406       -3.3894321918487549     
           2   9999999983.2060814        12.591203689575195       -3.3869390487670898     
           1   9999999984.6234226        12.656608581542969       -3.5630428791046143     
           2   9999999984.0294113        12.600489616394043       -3.2973787784576416     
           2   9999999983.7508411        12.558627128601074       -3.2328674793243408     
           1   9999999984.0436535        12.622906684875488       -3.3661289215087891     
           1   9999999983.4738598        12.618680000305176       -3.3810491561889648     
           4   9999999983.4689007        12.606703758239746       -3.4437208175659180     
           3   9999999983.6602669        12.617984771728516       -3.3673305511474609     
           1   9999999983.1296196        12.583816528320313       -3.3098702430725098     
           4   9999999984.8385849        12.535280227661133       -3.2522418498992920     
           3   9999999985.6584110        12.589550018310547       -3.4733760356903076     
           1   9999999985.2080002        12.632718086242676       -3.5625114440917969     
           1   9999999983.8378143        12.622893333435059       -3.4939219951629639     
           2   9999999983.8595085        12.627745628356934       -3.3929276466369629     
           1   9999999983.3059692        12.621198654174805       -3.4060366153717041     
          11   9999999983.1521645        12.599812507629395       -3.4061625003814697     
           2   9999999983.3041019        12.576079368591309       -3.3411085605621338     
           3   9999999983.1410503        12.607327461242676       -3.4212763309478760     
           1   9999999984.1768608        12.586362838745117       -3.2561960220336914     
           1   9999999983.8934135        12.607861518859863       -3.3238313198089600     
           2   9999999984.2722740        12.621709823608398       -3.3526544570922852     
           1   9999999987.0412502        12.652725219726563       -3.3767116069793701     
           1   9999999987.0174065        12.679582595825195       -3.4857606887817383     
           1   9999999986.6414299        12.625371932983398       -3.2953968048095703     
           2   9999999985.2522526        12.646447181701660       -3.4068489074707031     
           1   9999999983.3747921        12.588203430175781       -3.2974224090576172     
           5   9999999983.4648247        12.631574630737305       -3.4471006393432617     
           1   9999999983.9857731        12.647547721862793       -3.5051405429840088     
           4   9999999983.4032097        12.591798782348633       -3.3038878440856934     
           3   9999999983.3532181        12.604394912719727       -3.3406305313110352     
           3   9999999983.2197685        12.615298271179199       -3.3889365196228027     
           2   9999999983.0981674        12.607102394104004       -3.4160273075103760     
           2   9999999983.0768471        12.594233512878418       -3.3352053165435791     
           4   9999999983.3299065        12.626505851745605       -3.4538114070892334     
           5   9999999983.0199280        12.595122337341309       -3.3451743125915527     
           6   9999999983.2832794        12.619716644287109       -3.4517116546630859     
           2   9999999983.4936199        12.603090286254883       -3.4367375373840332     
